Date,Open,High,Low,Close,Volume,stock_id
2017-06-22,25.102,25.102,25.038,25.038,201,4645
2017-06-23,25.038,25.038,25.038,25.038,0,4645
2017-06-26,25.038,25.038,25.038,25.038,0,4645
2017-06-27,25.262,25.262,25.262,25.262,881,4645
2017-06-28,25.491,25.531,25.391,25.455,6919,4645
2017-06-29,25.312,25.312,25.287,25.295,744,4645
2017-06-30,25.421,25.441,25.368,25.368,1188,4645
2017-07-03,25.368,25.368,25.368,25.368,0,4645
2017-07-05,25.368,25.368,25.368,25.368,0,4645
2017-07-06,25.581,25.581,25.5,25.5,577,4645
2017-07-07,25.451,25.471,25.262,25.262,3894,4645
2017-07-10,25.491,25.561,25.491,25.561,396,4645
2017-07-11,25.222,25.222,25.222,25.222,100,4645
2017-07-12,25.919,25.919,25.833,25.833,506,4645
2017-07-13,25.833,25.833,25.833,25.833,0,4645
2017-07-14,26.208,26.218,26.208,26.218,778,4645
2017-07-17,25.939,26.288,25.939,26.152,1384,4645
2017-07-18,26.152,26.152,26.152,26.152,0,4645
2017-07-19,26.358,26.358,26.358,26.358,104,4645
2017-07-20,26.428,26.448,26.428,26.428,1216,4645
2017-07-21,26.159,26.228,26.089,26.228,1311,4645
2017-07-24,26.228,26.228,26.228,26.228,0,4645
2017-07-25,26.189,26.338,26.189,26.268,3962,4645
2017-07-26,26.32,26.32,26.32,26.32,281,4645
2017-07-27,26.456,26.456,26.408,26.408,10794,4645
2017-07-28,26.258,26.258,26.258,26.258,100,4645
2017-07-31,26.488,26.796,26.488,26.796,1071,4645
2017-08-01,26.796,26.796,26.796,26.796,0,4645
2017-08-02,26.893,26.936,26.893,26.936,201,4645
2017-08-03,26.966,26.966,26.936,26.936,1287,4645
2017-08-04,26.956,26.956,26.736,26.736,589,4645
2017-08-07,26.736,26.736,26.736,26.736,0,4645
2017-08-08,26.782,26.866,26.732,26.765,6275,4645
2017-08-09,26.816,26.836,26.767,26.836,1046,4645
2017-08-10,26.836,26.846,26.836,26.839,2108,4645
2017-08-11,26.448,26.787,26.448,26.757,2201,4645
2017-08-14,26.856,26.856,26.741,26.741,1487,4645
2017-08-15,26.547,26.627,26.527,26.627,4641,4645
2017-08-16,26.737,26.737,26.637,26.687,5190,4645
2017-08-17,26.617,26.647,26.617,26.647,2007,4645
2017-08-18,26.647,26.647,26.567,26.627,2208,4645
2017-08-21,26.627,26.627,26.627,26.627,0,4645
2017-08-22,26.677,26.856,26.677,26.856,10027,4645
2017-08-23,26.856,27.205,26.856,26.866,2258,4645
2017-08-24,26.866,26.896,26.822,26.866,2210,4645
2017-08-25,26.946,27.036,26.946,27.026,810,4645
2017-08-28,27.006,27.075,27.006,27.026,3996,4645
2017-08-29,26.936,27.016,26.936,26.956,2358,4645
2017-08-30,26.876,26.876,26.806,26.806,602,4645
2017-08-31,27.185,27.215,27.185,27.215,1545,4645
2017-09-01,27.413,27.424,27.394,27.404,7398,4645
2017-09-05,27.245,27.245,27.026,27.125,11719,4645
2017-09-06,27.335,27.355,27.335,27.355,657,4645
2017-09-07,27.355,27.355,27.355,27.355,0,4645
2017-09-08,27.454,27.454,27.444,27.444,581,4645
2017-09-11,27.624,27.644,27.554,27.644,4147,4645
2017-09-12,27.584,27.584,27.584,27.584,1239,4645
2017-09-13,27.504,27.504,27.504,27.504,100,4645
2017-09-14,27.355,27.442,27.355,27.442,602,4645
2017-09-15,27.494,27.524,27.458,27.504,3927,4645
2017-09-18,27.504,27.504,27.504,27.504,0,4645
2017-09-19,27.075,27.763,27.075,27.634,4791,4645
2017-09-20,27.726,27.803,27.634,27.673,1585,4645
2017-09-21,27.604,27.604,27.504,27.555,11785,4645
2017-09-22,27.454,27.556,27.454,27.556,1091,4645
2017-09-25,27.544,27.962,27.533,27.534,3742,4645
2017-09-26,27.459,27.52,27.4152,27.52,4780,4645
2017-09-27,27.53,27.58,27.49,27.5528,994,4645
2017-09-28,27.52,27.65,27.5,27.59,3037,4645
2017-09-29,27.65,27.76,27.65,27.73,3471,4645
2017-10-02,27.52,27.8,27.52,27.78,4836,4645
2017-10-03,27.78,27.78,27.78,27.78,0,4645
2017-10-04,27.72,27.87,27.72,27.75,2305,4645
2017-10-05,27.83,27.86,27.82,27.86,1413,4645
2017-10-06,27.58,27.8,27.58,27.8,3382,4645
2017-10-09,27.8,27.8,27.8,27.8,0,4645
2017-10-10,27.94,27.97,27.94,27.97,951,4645
2017-10-11,27.85,27.97,27.85,27.97,474,4645
2017-10-12,27.84,27.9123,27.84,27.9123,470,4645
2017-10-13,28.04,28.24,28.04,28.22,2279,4645
2017-10-16,28.25,28.25,28.17,28.2,766,4645
2017-10-17,28.07,28.11,28.07,28.11,975,4645
2017-10-18,28.13,28.18,28.13,28.18,940,4645
2017-10-19,27.94,27.95,27.8497,27.95,1050,4645
2017-10-20,27.95,27.95,27.95,27.95,1054,4645
2017-10-23,28.1199,28.12,28.1,28.12,599,4645
2017-10-24,28.18,28.18,28.1799,28.1799,395,4645
2017-10-25,28.24,28.24,28.24,28.24,383,4645
2017-10-26,28.1599,28.175,28.1599,28.175,380,4645
2017-10-27,28.05,28.1198,28.05,28.1,1199,4645
2017-10-30,28.22,28.22,28.22,28.22,398,4645
2017-10-31,28.36,28.38,28.36,28.38,559,4645
2017-11-01,28.63,28.63,28.61,28.62,3547,4645
2017-11-02,28.57,28.68,28.57,28.68,6441,4645
2017-11-03,28.569,28.569,28.43,28.486,10300,4645
2017-11-06,28.486,28.486,28.486,28.486,10345,4645
2017-11-07,28.68,28.7,28.68,28.7,200,4645
2017-11-08,28.9,28.92,28.9,28.92,280,4645
2017-11-09,28.49,28.68,28.35,28.68,5757,4645
2017-11-10,28.36,28.6399,28.28,28.6399,1302,4645
