Date,Open,High,Low,Close,Volume,stock_id
2017-08-21,65.04,65.04,65.0,65.0,400,3531
2017-09-07,62.0,62.0,62.0,62.0,100,3531
2017-09-13,65.0,65.0,65.0,65.0,100,3531
2017-09-14,65.11,65.12,65.11,65.12,811,3531
2017-09-15,64.95,64.95,64.77,64.95,500,3531
2017-09-20,68.0,68.7,68.0,68.7,400,3531
2017-09-27,69.75,71.0,69.75,71.0,520,3531
2017-10-02,70.45,70.45,70.45,70.45,300,3531
2017-10-16,73.5,73.5,73.5,73.5,100,3531
2017-10-20,72.39,72.39,72.39,72.39,100,3531
2017-10-24,72.89,74.0,72.89,74.0,550,3531
2017-10-25,73.5,73.5,73.5,73.5,100,3531
2017-10-26,73.8,74.1268,73.8,74.1268,200,3531
2017-10-30,74.0,74.0,74.0,74.0,100,3531
2017-11-02,72.0,74.0,72.0,74.0,582,3531
2017-11-03,73.22,73.22,73.22,73.22,100,3531
2017-11-07,72.0,72.0,72.0,72.0,100,3531
2017-11-10,70.0,70.0,70.0,70.0,100,3531
